norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
Z-norm,Spearman,Intersect 2000,331,0.119818808523588,0.14609727800320407,83,46,55.42168674698795,46,31,67.3913043478261,37,15,40.54054054054054,0.18999969820595902
Z-norm,Spearman,Union 3000,5437,0.14859306009646256,0.16387659570231464,83,49,59.036144578313255,46,35,76.08695652173913,37,14,37.83783783783784,0.06192652973090074
Z-norm,Spearman,Intersect 3000,563,0.11450112752728044,0.13602309263091822,83,47,56.626506024096386,46,30,65.21739130434783,37,17,45.945945945945944,0.136134472986024
Z-norm,Spearman,Union 5000,8803,0.1435026094782212,0.15406100992885557,83,46,55.42168674698795,46,32,69.56521739130434,37,14,37.83783783783784,0.18999969820595902
Z-norm,Spearman,Intersect 5000,1197,0.12031241624667129,0.14345006343698205,83,50,60.24096385542169,46,36,78.26086956521739,37,14,37.83783783783784,0.03920981240790382
Z-norm,Spearman,All Genes,35204,0.17031790238700953,0.1746779241634392,83,49,59.036144578313255,46,31,67.3913043478261,37,18,48.648648648648646,0.06192652973090074
Z-norm,Cosine,DMSO 500,500,0.21384527974886816,0.1100067110816686,83,34,40.963855421686745,46,0,0.0,37,34,91.89189189189189,0.9607901875920962
Z-norm,Cosine,Vorino 500,500,0.09952975482993423,0.24905366352069597,83,47,56.626506024096386,46,44,95.65217391304348,37,3,8.108108108108109,0.136134472986024
Z-norm,Cosine,Union 500,941,0.19729022057836362,0.22950282776481934,83,52,62.65060240963855,46,37,80.43478260869566,37,15,40.54054054054054,0.013767089006147266
Z-norm,Cosine,Intersect 500,59,0.14142617503413926,0.10791440587081061,83,40,48.19277108433735,46,17,36.95652173913044,37,23,62.16216216216216,0.6695581761193923
Z-norm,Cosine,DMSO 1000,1000,0.19887722070613076,0.12486548825552159,83,37,44.57831325301205,46,3,6.521739130434782,37,34,91.89189189189189,0.863865527013976
Z-norm,Cosine,Vorino 1000,1000,0.10968730070133928,0.23588632583884206,83,45,54.21686746987952,46,45,97.82608695652173,37,0,0.0,0.2552049708406172
Z-norm,Cosine,Union 1000,1861,0.18631033875985528,0.21611253974691055,83,55,66.26506024096386,46,38,82.6086956521739,37,17,45.945945945945944,0.0020196044433347065
Z-norm,Cosine,Intersect 1000,139,0.118957859613847,0.1292411378468243,83,43,51.80722891566265,46,26,56.52173913043478,37,17,45.945945945945944,0.41320236222459616
Z-norm,Cosine,DMSO 2000,2000,0.18506265077401113,0.14092854142550798,83,42,50.602409638554214,46,11,23.91304347826087,37,31,83.78378378378379,0.4999999999999998
Z-norm,Cosine,Vorino 2000,2000,0.12294759458585838,0.21886253148228768,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
Z-norm,Cosine,Union 2000,3669,0.172936284537433,0.19998918537369417,83,51,61.44578313253012,46,37,80.43478260869566,37,14,37.83783783783784,0.023762444628265912
Z-norm,Cosine,Intersect 2000,331,0.13672515245406147,0.15735652678418202,83,53,63.855421686746986,46,35,76.08695652173913,37,18,48.648648648648646,0.007616100930997331
Z-norm,Cosine,Union 3000,5437,0.1661290599281062,0.18932058263219148,83,50,60.24096385542169,46,38,82.6086956521739,37,12,32.432432432432435,0.03920981240790382
Z-norm,Cosine,Intersect 3000,563,0.13687261016489244,0.15774837942014686,83,49,59.036144578313255,46,34,73.91304347826087,37,15,40.54054054054054,0.06192652973090074
Z-norm,Cosine,Union 5000,8803,0.15823452266345928,0.17576508907611058,83,51,61.44578313253012,46,38,82.6086956521739,37,13,35.13513513513514,0.023762444628265912
Z-norm,Cosine,Intersect 5000,1197,0.14452770668815368,0.1665900287053796,83,49,59.036144578313255,46,35,76.08695652173913,37,14,37.83783783783784,0.06192652973090074
Z-norm,Cosine,All Genes,35204,0.1535264608187266,0.16543083924185276,83,49,59.036144578313255,46,37,80.43478260869566,37,12,32.432432432432435,0.06192652973090074
CPM only,Pearson,DMSO 500,500,0.9977605329564554,0.9971577903142747,83,42,50.602409638554214,46,10,21.73913043478261,37,32,86.48648648648648,0.4999999999999998
CPM only,Pearson,Vorino 500,500,0.9961589515637731,0.9960128594215649,83,44,53.01204819277108,46,18,39.130434782608695,37,26,70.27027027027027,0.3304418238806077
CPM only,Pearson,Union 500,941,0.9975461779470538,0.9969045169125705,83,43,51.80722891566265,46,10,21.73913043478261,37,33,89.1891891891892,0.41320236222459616
CPM only,Pearson,Intersect 500,59,0.9909745534859912,0.9910374399484886,83,36,43.373493975903614,46,16,34.78260869565217,37,20,54.054054054054056,0.9062700660169036
CPM only,Pearson,DMSO 1000,1000,0.9977278022218242,0.9967271436074696,83,40,48.19277108433735,46,5,10.869565217391305,37,35,94.5945945945946,0.6695581761193923
CPM only,Pearson,Vorino 1000,1000,0.9972943748182036,0.9970388273050252,83,42,50.602409638554214,46,17,36.95652173913044,37,25,67.56756756756756,0.4999999999999998
CPM only,Pearson,Union 1000,1861,0.9975392726522001,0.9966367109162959,83,41,49.397590361445786,46,6,13.043478260869565,37,35,94.5945945945946,0.5867976377754038
CPM only,Pearson,Intersect 1000,139,0.9962610076980947,0.9962614980581443,83,35,42.16867469879518,46,15,32.608695652173914,37,20,54.054054054054056,0.9380734702690993
CPM only,Pearson,DMSO 2000,2000,0.9970955131769709,0.9961562532469932,83,38,45.78313253012048,46,3,6.521739130434782,37,35,94.5945945945946,0.8100003017940409
CPM only,Pearson,Vorino 2000,2000,0.9970309325577003,0.9965285565062791,83,47,56.626506024096386,46,17,36.95652173913044,37,30,81.08108108108108,0.136134472986024
CPM only,Pearson,Union 2000,3669,0.9969228353472089,0.9960840101628355,83,44,53.01204819277108,46,8,17.391304347826086,37,36,97.29729729729729,0.3304418238806077
CPM only,Pearson,Intersect 2000,331,0.9974861210785135,0.9972851606805367,83,43,51.80722891566265,46,17,36.95652173913044,37,26,70.27027027027027,0.41320236222459616
CPM only,Pearson,Union 3000,5437,0.9959503231293193,0.9949998490065349,83,42,50.602409638554214,46,6,13.043478260869565,37,36,97.29729729729729,0.4999999999999998
CPM only,Pearson,Intersect 3000,563,0.9972408554487712,0.9969157724206216,83,45,54.21686746987952,46,19,41.30434782608695,37,26,70.27027027027027,0.2552049708406172
CPM only,Pearson,Union 5000,8803,0.9939922945674806,0.9926240055460471,83,44,53.01204819277108,46,9,19.565217391304348,37,35,94.5945945945946,0.3304418238806077
CPM only,Pearson,Intersect 5000,1197,0.9957784060773219,0.9950633139313401,83,43,51.80722891566265,46,14,30.434782608695652,37,29,78.37837837837837,0.41320236222459616
CPM only,Pearson,All Genes,35204,0.9934645719348206,0.9920495338976786,83,44,53.01204819277108,46,9,19.565217391304348,37,35,94.5945945945946,0.3304418238806077
CPM only,Spearman,DMSO 500,500,0.6111622453978537,0.7980265970457419,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
CPM only,Spearman,Vorino 500,500,0.673227692915786,0.48697230118666984,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
CPM only,Spearman,Union 500,941,0.5921507900785874,0.6217517414718337,83,50,60.24096385542169,46,39,84.78260869565217,37,11,29.72972972972973,0.03920981240790382
CPM only,Spearman,Intersect 500,59,0.9724757036731775,0.9752943326907871,83,41,49.397590361445786,46,30,65.21739130434783,37,11,29.72972972972973,0.5867976377754038
CPM only,Spearman,DMSO 1000,1000,0.6068937232909813,0.7877499991475518,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
