GeneInteraction,bait,prey,mssEffect,mss_direction,posCtl_Interaction,posCtl_source,denom_type,ctl_bait,ctl_prey,r_pair_DMSO,r_posCtl_DMSO,ratio_DMSO,diff_DMSO,r_pair_Vorino,r_posCtl_Vorino,ratio_Vorino,diff_Vorino,delta_ratio,delta_diff,ratio_DMSO_lo,ratio_DMSO_hi,ratio_Vorino_lo,ratio_Vorino_hi,diff_DMSO_lo,diff_DMSO_hi,diff_Vorino_lo,diff_Vorino_hi,at_or_above_DMSO,above_CI_DMSO,below_CI_DMSO,at_or_above_Vorino,above_CI_Vorino,below_CI_Vorino,measurable
HDAC1_MBD3,HDAC1,MBD3,down,decrease,HDAC1_MBD3,Diff_Ppi,self,HDAC1,MBD3,0.16632828524317114,0.16632828524317114,1.0,0.0,0.19914056307327552,0.19914056307327552,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
HDAC2_HMG20B,HDAC2,HMG20B,down,decrease,HDAC2_RCOR3,Diff_Ppi,differential,HDAC2,RCOR3,0.1949662473709428,0.2001304506350733,0.9741958145412508,-0.005164203264130474,0.20556387994144915,0.19621506879049525,1.0476457348998813,0.0093488111509539,0.07344992035863052,0.014513014415084374,0.6385042325961956,1.4826114863590956,0.7625989011563333,1.438419008981446,-0.08349545865793347,0.07799498907612813,-0.051666862029632395,0.07280613043017811,False,False,False,True,False,False,True
HDAC2_MBD3,HDAC2,MBD3,down,decrease,HDAC2_RCOR3,Diff_Ppi,differential,HDAC2,RCOR3,0.21712029111164138,0.2001304506350733,1.0848938301125806,0.016989840476568097,0.21856063681797794,0.19621506879049525,1.1138830374508175,0.022345568027482693,0.028989207338236955,0.005355727550914596,0.7293344094885584,1.5951223698371715,0.8294457775562065,1.5424044722839825,-0.059554324676186446,0.0989947592283124,-0.03906441014876754,0.08524212759003325,True,False,False,True,False,False,True
HDAC2_RBBP4,HDAC2,RBBP4,down,decrease,HDAC2_RCOR3,Diff_Ppi,differential,HDAC2,RCOR3,0.22745911110097414,0.2001304506350733,1.1365542343965094,0.02732866046590085,0.18101192730687352,0.19621506879049525,0.9225179718492743,-0.01520314148362173,-0.21403626254723507,-0.04253180194952258,0.7809009822102092,1.6284011972025798,0.6570463281816136,1.2821636982761742,-0.04951863676800931,0.10365795112485987,-0.07782464166004761,0.04541486886522822,True,False,False,False,False,False,True
HDAC2_RCOR3,HDAC2,RCOR3,down,decrease,HDAC2_RCOR3,Diff_Ppi,self,HDAC2,RCOR3,0.2001304506350733,0.2001304506350733,1.0,0.0,0.19621506879049525,0.19621506879049525,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
HDAC2_RREB1,HDAC2,RREB1,down,decrease,HDAC2_RCOR3,Diff_Ppi,differential,HDAC2,RCOR3,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
HDAC3_CITED2,HDAC3,CITED2,up,increase,HDAC3_SMARCC1,Diff_Ppi,differential,HDAC3,SMARCC1,0.17880905783134626,0.16649304357038713,1.0739731462459112,0.01231601426095913,0.17663249181270868,0.1311860449783882,1.3464274484516048,0.045446446834320475,0.27245430220569355,0.033130432573361346,0.6747192106021077,1.732135609522127,0.8829068453492099,2.433591008491662,-0.07017790113881119,0.08662845468624839,-0.021373161490956923,0.11478763018862807,True,False,False,True,False,False,True
HDAC3_HMGN2,HDAC3,HMGN2,down,decrease,HDAC3_SMARCC1,Diff_Ppi,differential,HDAC3,SMARCC1,0.10506955434368567,0.16649304357038713,0.6310747409651751,-0.06142348922670146,0.13446656225158046,0.1311860449783882,1.0250066024456541,0.003280517273192257,0.393931861480479,0.06470400649989372,0.3498452108764388,1.0949367761080158,0.5852235650319699,1.9653548702320167,-0.14001683121225464,0.011799249148149057,-0.0744336791595062,0.0760810384197677,False,False,False,True,False,False,True
HDAC3_NCOA5,HDAC3,NCOA5,down,decrease,HDAC3_SMARCC1,Diff_Ppi,differential,HDAC3,SMARCC1,0.1851452497530314,0.16649304357038713,1.1120299430093534,0.018652206182644265,0.1958726256391598,0.1311860449783882,1.4930904096653586,0.0646865806607716,0.3810604666560051,0.04603437447812733,0.6932745063349128,1.7822906059637267,0.9564070822949475,2.711699943508353,-0.06602728488531627,0.09339796744027215,-0.007716618736706816,0.14030501088644112,True,False,False,True,False,False,True
HDAC3_SMARCC1,HDAC3,SMARCC1,down,decrease,HDAC3_SMARCC1,Diff_Ppi,self,HDAC3,SMARCC1,0.16649304357038713,0.16649304357038713,1.0,0.0,0.1311860449783882,0.1311860449783882,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
HDAC7_CTTNBP2NL,HDAC7,CTTNBP2NL,up,increase,HDAC7_CTTNBP2NL,Diff_Ppi,self,HDAC7,CTTNBP2NL,0.13693379679334072,0.13693379679334072,1.0,0.0,0.2112683873136498,0.2112683873136498,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
HDAC7_UHRF1,HDAC7,UHRF1,down,decrease,HDAC7_CTTNBP2NL,Diff_Ppi,differential,HDAC7,CTTNBP2NL,0.15278723999843194,0.13693379679334072,1.1157745098459302,0.015853443205091217,0.18295568971449505,0.2112683873136498,0.8659870605386805,-0.02831269759915475,-0.24978744930724972,-0.04416614080424597,0.6925666663240885,1.9002167495719318,0.5676178568362101,1.2639352371944497,-0.05133098759040622,0.08320300382043,-0.10402822056078216,0.04867309938612567,True,False,False,False,False,False,True
KAT2A_TADA2A,KAT2A,TADA2A,down,decrease,KAT2A_TADA2A,Diff_Ppi,self,KAT2A,TADA2A,0.23710476761869526,0.23710476761869526,1.0,0.0,0.2126854795969449,0.2126854795969449,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
KMT2D_MGP,KMT2D,MGP,down,decrease,KMT2D_WDR5,Apms_Ppi,insig,KMT2D,WDR5,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
KMT2D_MLPH,KMT2D,MLPH,down,decrease,KMT2D_WDR5,Apms_Ppi,insig,KMT2D,WDR5,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
KMT2D_SPATS2L,KMT2D,SPATS2L,lost,decrease,KMT2D_WDR5,Apms_Ppi,insig,KMT2D,WDR5,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
KMT2D_WDR5,KMT2D,WDR5,insig,posctl,KMT2D_WDR5,Apms_Ppi,self,KMT2D,WDR5,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
MORF4L1_BRD8,MORF4L1,BRD8,down,decrease,MORF4L1_MRGBP,Diff_Ppi,differential,MORF4L1,MRGBP,0.1408861090772028,0.1326595537713313,1.062012535637289,0.008226555305871519,0.16292761033265857,0.12686469708077153,1.2842627939979765,0.03606291325188704,0.22225025836068757,0.027836357946015522,0.5862447891503593,1.8964038731812238,0.8000672835499217,2.0041220086541354,-0.07502903027864309,0.07773199477699726,-0.028783169364944034,0.10481711708213534,True,False,False,True,False,False,True
MORF4L1_MRGBP,MORF4L1,MRGBP,down,decrease,MORF4L1_MRGBP,Diff_Ppi,self,MORF4L1,MRGBP,0.1326595537713313,0.1326595537713313,1.0,0.0,0.12686469708077153,0.12686469708077153,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
MSL1_EPS15,MSL1,EPS15,up,increase,MSL1_MSL3,Diff_Ppi,differential,MSL1,MSL3,0.10894280733393075,0.0480308472896029,2.2681841666681004,0.06091196004432785,0.1264364158323099,0.07325391475774223,1.7260021699925163,0.05318250107456768,-0.5421819966755841,-0.0077294589697601696,0.8173670583173748,11.122957488914771,0.8490419186886586,4.819947719346163,-0.006094352641769393,0.12107759505562435,-0.01604384839326409,0.12140954106312604,True,False,False,True,False,False,True
MSL1_HIP1,MSL1,HIP1,up,increase,MSL1_MSL3,Diff_Ppi,differential,MSL1,MSL3,0.08456464174405595,0.0480308472896029,1.7606318962930605,0.03653379445445305,0.07220963692806327,0.07325391475774223,0.9857444092492191,-0.0010442778296789607,-0.7748874870438414,-0.037578072284132014,0.6079215285882448,7.641219074439278,0.33994362300919023,3.0103495229463846,-0.024514365959332277,0.09691059558738664,-0.06772118878290441,0.061789781100006894,True,False,False,False,False,False,True
MSL1_KAT8,MSL1,KAT8,down,decrease,MSL1_MSL3,Diff_Ppi,differential,MSL1,MSL3,0.13788386695025856,0.0480308472896029,2.870735677821488,0.08985301966065566,0.14061231664615795,0.07325391475774223,1.9195194838552514,0.06735840188841571,-0.9512161939662367,-0.022494617772239947,1.0764477728126178,14.993737590655337,0.9617089956069952,5.590948497783394,0.013759186542484678,0.15850810946900523,-0.00447246804457229,0.1367250649658099,True,True,False,True,False,False,True
MSL1_MSL2,MSL1,MSL2,down,decrease,MSL1_MSL3,Diff_Ppi,differential,MSL1,MSL3,0.14380486098246364,0.0480308472896029,2.994010497366193,0.09577401369286075,0.1137024000574587,0.07325391475774223,1.5521682415674782,0.040448485299716466,-1.4418422557987147,-0.05532552839314428,1.016542714744727,16.190772754299307,0.7337417996288431,4.429285127252168,0.01052283257341011,0.17707377662271231,-0.027755307575661907,0.10956807764497706,True,True,False,True,False,False,True
MSL1_MSL3,MSL1,MSL3,down,decrease,MSL1_MSL3,Diff_Ppi,self,MSL1,MSL3,0.0480308472896029,0.0480308472896029,1.0,0.0,0.07325391475774223,0.07325391475774223,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
PIM1_CALCOCO1,PIM1,CALCOCO1,gained,increase,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.14544363777518807,0.2157453224657942,0.6741450341211812,-0.07030168469060613,0.18871179877690403,0.2310645288730006,0.8167060504584206,-0.04235273009609658,0.1425610163372394,0.02794895459450955,0.44428428004167114,0.9602517212055267,0.5898910447740099,1.0973648894078536,-0.13097679038251298,-0.0073469156029026305,-0.10693925425729056,0.01851238110089227,False,False,True,False,False,False,True
PIM1_GATAD2B,PIM1,GATAD2B,down,decrease,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.20324564258707387,0.2157453224657942,0.9420628000836397,-0.012499679878720332,0.1513779053146199,0.2310645288730006,0.6551325989019342,-0.07968662355838071,-0.28693020118170554,-0.06718694367966038,0.6288289954497436,1.3325577995950608,0.44302034034901655,0.8999371286224154,-0.0904364073085996,0.06237065863777628,-0.1441539355922713,-0.019154926354024413,False,False,False,False,False,True,True
PIM1_GPRC5A,PIM1,GPRC5A,up,increase,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.13750447501189317,0.2157453224657942,0.6373462629007594,-0.07824084745390103,0.14393398324691017,0.2310645288730006,0.6229168273855665,-0.08713054562609043,-0.014429435515192823,-0.008889698172189403,0.38470912554328224,0.9445442062590224,0.4129007924687158,0.8898067552912055,-0.15206750617964984,-0.009919447819889607,-0.15254263275097157,-0.021244654554580186,False,False,True,False,False,True,True
PIM1_MBD3,PIM1,MBD3,down,decrease,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.2615747838440966,0.2157453224657942,1.212423893387392,0.045829461378302405,0.16011440021478754,0.2310645288730006,0.6929423611479146,-0.07095012865821307,-0.5194815322394775,-0.11677959003651547,0.9167149992830408,1.5902466002038307,0.4761030661225775,0.9867429779517317,-0.020504626844358057,0.10720614211962373,-0.13439266333372973,-0.0026061410704147194,True,False,False,False,False,True,True
PIM1_MTA1,PIM1,MTA1,down,decrease,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.2019976960612841,0.2157453224657942,0.9362784497601808,-0.013747626404510105,0.1682925647689471,0.2310645288730006,0.7283357839032286,-0.0627719641040535,-0.2079426658569522,-0.0490243376995434,0.6813011308008052,1.2609306130137625,0.5067946121567102,1.0047710317320435,-0.07645567680403977,0.04952943232530209,-0.12926267069485084,0.0010217584152628298,False,False,False,False,False,False,True
PIM1_RBBP4,PIM1,RBBP4,down,decrease,PIM1_HDAC2,Apms_Ppi,insig,PIM1,HDAC2,0.22037947190690954,0.2157453224657942,1.0214797214982498,0.004634149441115343,0.1768581314703311,0.2310645288730006,0.7654058038805999,-0.0542063974026695,-0.25607391761764997,-0.05884054684378484,0.7562300544854423,1.332360029220473,0.5364118647811323,1.058534472464286,-0.058689892392508235,0.061397175532714544,-0.12347423042246844,0.010771957558008192,True,False,False,False,False,False,True
PPP1CA_HMGN1,PPP1CA,HMGN1,up,increase,PPP1CA_RIF1,Diff_Ppi,differential,PPP1CA,RIF1,0.1507843781460468,0.09774236944802905,1.5426716069761426,0.053042008698017756,0.18826774605739766,0.13953371101594772,1.3492635198090588,0.048734035041449936,-0.1934080871670838,-0.004307973656567821,1.0647453425898912,2.747661742998448,0.9660538905413821,2.034073417429292,0.009267853098756431,0.12198241539519517,-0.006290205370607473,0.10852670896799464,True,True,False,True,False,False,True
PPP1CA_PARP1,PPP1CA,PARP1,up,increase,PPP1CA_RIF1,Diff_Ppi,differential,PPP1CA,RIF1,0.134463889590361,0.09774236944802905,1.375697052871808,0.03672152014233196,0.18258184519312626,0.13953371101594772,1.3085142211422904,0.04304813417717854,-0.06718283172951756,0.006326614034846578,0.8706271303763127,2.474730731867079,0.9461487906718373,1.9739708617614118,-0.018076971341836872,0.10436197693279473,-0.009314596896216462,0.10683807783683238,True,False,False,True,False,False,True
